treat,age,education,black,hispanic,married,nodegree,re74,re75,re78
0,1.0,37.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,9930.046
1,1.0,22.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,3595.894
2,1.0,30.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,24909.45
3,1.0,27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,7506.146
4,1.0,33.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,289.7899
5,1.0,22.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,4056.494
6,1.0,23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.0,32.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,8472.158
8,1.0,22.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,2164.022
9,1.0,33.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,12418.07
10,1.0,19.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,8173.908
11,1.0,21.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,17094.64
12,1.0,18.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
13,1.0,27.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,18739.93
14,1.0,17.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,3023.879
15,1.0,19.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,3228.503
16,1.0,27.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,14581.86
17,1.0,23.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,7693.4
18,1.0,40.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,10804.32
19,1.0,26.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,10747.35
20,1.0,23.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
21,1.0,41.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5149.501
22,1.0,38.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,6408.95
23,1.0,24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1991.4
24,1.0,18.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,11163.17
25,1.0,29.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,9642.999
26,1.0,25.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,9897.049
27,1.0,27.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,11142.87
28,1.0,17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,16218.04
29,1.0,24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,995.7002
30,1.0,17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
31,1.0,48.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,6551.592
32,1.0,25.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1574.424
33,1.0,20.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.0,25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,3191.753
35,1.0,42.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,20505.93
36,1.0,25.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,6181.88
37,1.0,23.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,5911.551
38,1.0,46.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,3094.156
39,1.0,24.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
40,1.0,21.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1254.582
41,1.0,19.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,13188.83
42,1.0,17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,8061.485
43,1.0,18.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,2787.96
44,1.0,20.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,3972.54
45,1.0,25.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
46,1.0,17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
47,1.0,17.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
48,1.0,25.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,12187.41
49,1.0,23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,4843.176
50,1.0,28.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
51,1.0,31.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,8087.487
52,1.0,18.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
53,1.0,25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,2348.973
54,1.0,30.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,590.7818
55,1.0,17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
56,1.0,37.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1067.506
57,1.0,41.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,7284.986
58,1.0,42.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,13167.52
59,1.0,22.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1048.432
60,1.0,17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
61,1.0,29.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1923.938
62,1.0,35.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,4666.236
63,1.0,27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,549.2984
64,1.0,29.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,762.9146
65,1.0,28.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,10694.29
66,1.0,27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
67,1.0,23.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
68,1.0,45.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,8546.715
69,1.0,29.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,7479.656
70,1.0,27.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
71,1.0,46.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,647.2046
72,1.0,18.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
73,1.0,25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,11965.81
74,1.0,28.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,9598.541
75,1.0,25.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,18783.35
76,1.0,22.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,18678.08
77,1.0,21.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
78,1.0,40.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,23005.6
79,1.0,22.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,6456.697
80,1.0,25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1.0,18.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,2321.107
82,1.0,38.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4941.849
83,1.0,27.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84,1.0,27.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
85,1.0,38.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
86,1.0,23.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,3881.284
87,1.0,26.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,17230.96
88,1.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8048.603
89,1.0,25.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
90,1.0,31.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,14509.93
91,1.0,17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
